"koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
FALSE POSITIVE,1,0,0,0,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,0.701,0.004,-0.005,53.412,0.131,-0.131,18091,33.5,-33.5,14.14,2.13,-0.71,196,0.35,0.15,-0.06,642.7,1,5520,100,-111,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861,49.316479,15.207
FALSE POSITIVE,0,1,0,0,61.2563628,0.000156,-0.000156,173.83826,0.00209,-0.00209,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,505,15.43,14.85,-5.51,85.3,1,6144,184,-220,4.402,0.072,-0.217,1.091,0.35,-0.15,283.72592,49.479519,15.25
CONFIRMED,0,0,0,0,41.19725502,9.35E-05,-9.35E-05,165.00404,0.00171,-0.00171,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,3.86,0.15,-0.33,439,8.76,1.27,-1.9,51.2,2,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
CONFIRMED,0,0,0,0,6.252962249,9.58E-06,-9.58E-06,171.30126,0.00117,-0.00117,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,823,108.3,15.73,-23.44,47.1,3,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
CONFIRMED,0,0,0,0,32.62876672,5.80E-05,-5.80E-05,194.1019,0.00138,-0.00138,0.021,0.402,-0.021,4.7971,0.058,-0.058,1804.8,25.4,-25.4,3.36,0.76,-0.33,506,15.55,10.51,-4.18,80,1,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082
CONFIRMED,0,0,0,0,91.7732862,0.0007518,-0.0007518,193.8378,0.00643,-0.00643,0.606,0.335,-0.4,6.473,0.204,-0.204,652,36.2,-36.2,2.12,0.48,-0.21,359,3.92,2.64,-1.06,19.1,2,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082
CANDIDATE,0,0,0,0,4.959319244,5.15E-07,-5.15E-07,172.2585292,8.27E-05,-8.27E-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802,20,-20,12.21,1.96,-1.46,1103,349.4,146.52,-93.21,696.5,1,5712,77,-77,4.359,0.11,-0.11,1.082,0.173,-0.13,292.16705,48.727589,15.263
FALSE POSITIVE,0,1,1,0,2.701287801,5.63E-06,-5.63E-06,170.69579,0.00164,-0.00164,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,1222,527.81,411.33,-166.35,48.3,1,5550,182,-182,4.468,0.091,-0.169,0.91,0.228,-0.105,297.92365,48.777321,15.54
CONFIRMED,0,0,0,0,4.49876511,1.78E-05,-1.78E-05,171.34905,0.003,-0.003,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460,17.5,-17.5,2.1,0.65,-0.22,1133,389.62,365.71,-117.4,29.5,1,6075,189,-210,4.486,0.052,-0.208,0.969,0.3,-0.1,298.45685,48.791592,15.395
FALSE POSITIVE,0,1,0,0,19.65120951,5.86E-06,-5.86E-06,179.401981,0.000249,-0.000249,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766,27.7,-27.7,12.42,3.92,-1.69,730,67.03,62.46,-23.51,513.4,1,6074,168,-210,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536
CONFIRMED,0,0,0,0,5.412203927,3.05E-06,-3.05E-06,133.143089,0.000468,-0.000468,0.787,0.005,-0.565,2.9472,0.024,-0.024,601.6,4,-4,2.94,0.43,-0.38,1093,337.68,137.29,-102.18,166.7,1,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
CONFIRMED,0,0,0,0,41.43958662,7.56E-05,-7.56E-05,208.93203,0.00142,-0.00142,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,516,16.72,14.66,-6.64,141.1,1,5468,180,-164,4.367,0.153,-0.187,1.046,0.297,-0.183,295.55505,49.017342,15.4
CONFIRMED,0,0,0,0,8.35389523,1.52E-05,-1.52E-05,171.63257,0.00133,-0.00133,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,790,91.9,59.06,-24.15,43.4,1,5592,152,-152,4.582,0.036,-0.144,0.787,0.169,-0.073,285.49924,49.277351,15.317
CONFIRMED,0,0,0,0,4.125543472,3.13E-06,-3.13E-06,169.752585,0.000613,-0.000613,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,1243,565.35,542.47,-188.14,128.6,1,6174,173,-239,4.417,0.056,-0.21,1.103,0.358,-0.128,291.93616,49.253979,15.506
CONFIRMED,0,0,0,0,2.816504904,1.65E-07,-1.65E-07,170.9676846,4.66E-05,-4.66E-05,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16814,11,-11,12.21,1.62,-0.87,1219,521.13,184.34,-97.95,1406.8,1,5532,74,-83,4.452,0.063,-0.108,0.955,0.127,-0.068,297.01547,49.225288,15.052
FALSE POSITIVE,0,1,1,0,33.93373447,6.15E-05,-6.15E-05,186.67608,0.00137,-0.00137,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,430,8.11,3.25,-2.06,236.1,1,5040,136,-151,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360722,15.716
CONFIRMED,0,0,0,0,4.431238488,6.11E-06,-6.11E-06,171.015,0.00111,-0.00111,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,3.25,0.47,-0.25,1104,351.23,135.26,-68.33,71.1,1,5714,77,-77,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367
CONFIRMED,0,0,0,0,11.37936986,2.42E-05,-2.42E-05,133.84992,0.00183,-0.00183,0.911,0.009,-0.656,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,806,99.68,38.38,-19.39,37.9,2,5714,77,-77,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367
CONFIRMED,0,0,0,0,13.57078281,1.59E-05,-1.59E-05,136.279194,0.000957,-0.000957,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,511.7,6.3,-6.3,2.64,0.4,-0.27,785,89.61,38.12,-22.92,88.4,1,5854,105,-117,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882
CONFIRMED,0,0,0,0,7.12594387,1.41E-05,-1.41E-05,139.00492,0.00159,-0.00159,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,192.4,4.4,-4.4,1.79,0.26,-0.23,997,233.31,94.86,-70.6,47.1,2,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
FALSE POSITIVE,0,1,0,0,7.442652004,7.02E-07,-7.02E-07,169.9717797,7.32E-05,-7.32E-05,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24446,37.8,-37.8,15.03,4.73,-1.58,967,206.78,195.52,-61.76,835.6,1,6108,183,-201,4.469,0.07,-0.21,0.956,0.301,-0.1,288.98682,49.733742,15.27
CONFIRMED,0,0,0,0,16.38489988,5.22E-05,-5.22E-05,172.72782,0.00248,-0.00248,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1127.1,42,-42,2,0.09,-0.1,433,8.35,1.49,-1.35,28.9,2,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
CONFIRMED,0,0,0,0,36.4454001,0.0001809,-0.0001809,151.60125,0.00392,-0.00392,0.028,0.437,-0.028,4.007,0.126,-0.126,1122.3,53.4,-53.4,1.99,0.09,-0.09,332,2.88,0.51,-0.47,21.7,3,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
CONFIRMED,0,0,0,0,3.728732147,9.36E-07,-9.36E-07,171.793255,0.000195,-0.000195,0.558,0.13,-0.149,2.683,0.035,-0.035,5226.5,18.5,-18.5,6.02,1.22,-0.52,1023,258.34,162.58,-65.21,345.2,1,5497,166,-149,4.577,0.034,-0.136,0.809,0.164,-0.07,290.78574,50.054119,15.523
CANDIDATE,0,0,0,0,40.4195037,0.0001139,-0.0001139,173.56469,0.00222,-0.00222,0.911,5.567,-0.118,3.362,0.14,-0.14,6256,230,-230,7.51,1.12,-0.91,467,11.29,5.67,-3.57,36.9,1,5446,179,-163,4.507,0.116,-0.105,0.781,0.116,-0.095,294.31686,50.080231,15.487
CONFIRMED,0,0,0,0,2.243380573,2.67E-06,-2.67E-06,170.679233,0.0009,-0.0009,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,821.7,25.6,-25.6,1.99,0.1,-0.12,822,107.6,21.47,-20.32,38.9,1,4149,82,-91,4.698,0.024,-0.027,0.564,0.03,-0.033,285.17621,50.149818,15.135
CONFIRMED,0,0,0,0,2.337437946,1.95E-06,-1.95E-06,171.761982,0.000659,-0.000659,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,971.2,13.7,-13.7,2.34,0.17,-0.09,1070,311.16,69.46,-40.17,82.4,1,5005,79,-79,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334
CANDIDATE,0,0,0,0,7.2406612,1.62E-05,-1.62E-05,137.75545,0.002,-0.002,1.198,49.85,-0.258,0.558,0.171,-0.171,556.4,44.1,-44.1,19.45,1.4,-0.71,734,68.63,15.32,-8.86,13.7,2,5005,79,-79,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334
CANDIDATE,0,0,0,0,3.43591631,4.73E-05,-4.73E-05,132.6624,0.011,-0.011,0.624,0.037,-0.476,3.133,0.407,-0.407,23.2,3.4,-3.4,0.55,0.08,-0.07,1272,617.61,251.11,-186.88,8.7,3,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
CONFIRMED,0,0,0,0,11.59822233,1.41E-05,-1.41E-05,180.395376,0.000923,-0.000923,0.679,0.187,-0.47,2.5237,0.052,-0.052,2804.5,46.3,-46.3,2.65,0.21,-0.29,396,5.82,1.49,-1.63,71,1,3688,73,-91,4.79,0.05,-0.045,0.473,0.037,-0.051,296.22195,50.28722,15.937
CONFIRMED,0,0,0,0,7.275040844,4.68E-06,-4.68E-06,169.994217,0.000507,-0.000507,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,3001,11.5,-11.5,4.86,1.05,-0.37,833,113.64,75.31,-28.97,312.1,1,5485,164,-180,4.556,0.028,-0.161,0.867,0.187,-0.067,295.45529,50.49456,15.08
CONFIRMED,0,0,0,0,19.27153892,4.15E-05,-4.15E-05,186.77093,0.00182,-0.00182,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1219.8,35.3,-35.3,1.93,0.1,-0.12,393,5.66,1.13,-1.06,37.1,1,4077,81,-81,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385
CONFIRMED,0,0,0,0,10.06524317,1.49E-05,-1.49E-05,136.28906,0.00119,-0.00119,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1053.3,39.2,-39.2,1.91,0.1,-0.12,488,13.43,2.69,-2.5,30.3,2,4077,81,-81,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385
CONFIRMED,0,0,0,0,12.3935651,3.93E-05,-3.93E-05,178.74725,0.00245,-0.00245,0.883,0.033,-0.64,3.8896,0.0834,-0.0834,916.6,29.1,-29.1,2.66,0.54,-0.23,677,49.68,31.16,-12.97,35.8,1,5557,166,-166,4.603,0.034,-0.128,0.75,0.152,-0.065,296.02133,50.56778,15.505
CONFIRMED,0,0,0,0,43.84439721,9.61E-05,-9.61E-05,151.93538,0.00192,-0.00192,0.852,0.039,-0.585,6.802,0.119,-0.119,615.2,7.7,-7.7,2.87,0.43,-0.3,531,18.77,7.98,-4.8,83.7,2,5854,105,-117,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882
FALSE POSITIVE,0,1,1,0,3.341913228,9.95E-06,-9.95E-06,171.63943,0.00247,-0.00247,1.213,11.28,-0.141,3.813,0.12,-0.12,725.3,21.3,-21.3,21.55,3.54,-1.89,1032,268.67,145.91,-70.67,39,1,5295,175,-159,4.551,0.049,-0.105,0.811,0.133,-0.071,292.31595,38.27029,15.629
CANDIDATE,0,0,0,0,1.626630225,1.02E-06,-1.02E-06,169.820171,0.000487,-0.000487,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19,-19,32.43,9,-4.83,1547,1355.88,1105.99,-486.6,103.6,1,5735,155,-172,4.41,0.124,-0.186,0.973,0.27,-0.145,294.36819,38.31028,15.279
CONFIRMED,0,0,0,0,60.4189369,0.0005043,-0.0005043,181.16367,0.00625,-0.00625,0.094,0.359,-0.094,5.039,0.184,-0.184,931.3,49.6,-49.6,2.36,0.34,-0.2,390,5.49,2.58,-1.4,20.1,2,5354,159,-159,4.587,0.032,-0.104,0.788,0.113,-0.066,296.36652,51.319519,15.339
CONFIRMED,0,0,0,0,12.61190435,6.65E-06,-6.65E-06,180.892284,0.000413,-0.000413,0.55,0.065,-0.128,5.1497,0.0592,-0.0592,6105.6,27.6,-27.6,7.4,2.2,-0.73,753,76.15,66.33,-21.39,277.2,1,5795,156,-173,4.508,0.039,-0.208,0.919,0.273,-0.091,289.11221,51.737381,15.14
FALSE POSITIVE,0,1,0,0,1.433769925,7.41E-07,-7.41E-07,170.403536,0.000397,-0.000397,1.268,5.652,-0.123,1.8868,0.0232,-0.0232,1976.3,20.4,-20.4,46.58,8.01,-8,1920,3209.29,1411.94,-1136.62,112.6,1,6017,72,-90,4.22,0.156,-0.117,1.339,0.23,-0.23,290.84369,37.728828,15.122
CONFIRMED,0,0,0,0,2.539183147,5.07E-06,-5.07E-06,169.67494,0.0016,-0.0016,0.238,0.198,-0.238,2.4282,0.0559,-0.0559,382.1,11.4,-11.4,2.06,0.29,-0.28,1332,743.09,290.34,-212.44,38.9,1,5519,82,-74,4.35,0.126,-0.103,1.062,0.154,-0.14,291.43997,37.905659,15.026
CONFIRMED,0,0,0,0,6.770300385,9.54E-06,-9.54E-06,170.57662,0.00108,-0.00108,0.838,0.083,-0.589,2.0844,0.0454,-0.0454,1304,29.7,-29.7,2.77,0.46,-0.15,812,102.87,53.88,-21.24,50.8,1,5653,166,-166,4.656,0.028,-0.112,0.679,0.112,-0.037,290.87051,38.273628,15.591
FALSE POSITIVE,0,1,1,1,0.444291966,9.70E-08,-9.70E-08,169.865406,0.000169,-0.000169,1.258,0.334,-0.141,2.0792,0.0115,-0.0115,10967,45.9,-45.9,27.51,3.46,-1.73,1836,2706.26,1149.42,-599.58,299.7,1,5255,156,-156,4.678,0.028,-0.083,0.636,0.08,-0.04,290.99689,38.28492,15.748
CANDIDATE,0,0,0,0,10.181584,6.19E-06,-6.19E-06,177.141891,0.000483,-0.000483,0.92,0.007,-0.005,3.5089,0.0331,-0.0331,5741.1,53.2,-53.2,7.73,2.17,-0.72,812,102.91,86.75,-28.91,183.6,1,5988,179,-197,4.541,0.048,-0.192,0.836,0.234,-0.078,291.28195,38.241669,15.657
CONFIRMED,0,0,0,0,20.06036336,5.84E-05,-5.84E-05,147.46554,0.00241,-0.00241,0.556,0.323,-0.368,3.3203,0.0754,-0.0754,1494.7,45.1,-45.1,1.96,0.13,-0.16,361,4,0.89,-0.9,35.2,2,3950,70,-86,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954
CONFIRMED,0,0,0,0,46.1842039,0.0002654,-0.0002654,165.23729,0.0043,-0.0043,0.013,0.415,-0.013,4.758,0.13,-0.13,1394.7,56.4,-56.4,1.83,0.12,-0.15,273,1.32,0.29,-0.3,26,3,3950,70,-86,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954
CONFIRMED,0,0,0,0,23.9800854,0.0002003,-0.0002003,147.537,0.00647,-0.00647,0.95,0.004,-0.66,5.351,0.177,-0.177,104,6.5,-6.5,1.31,0.2,-0.13,649,41.94,17.84,-10.73,17.1,4,5854,105,-117,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882
CONFIRMED,0,0,0,0,3.895936525,7.71E-07,-7.71E-07,170.527552,0.000157,-0.000157,0.524,0.069,-0.237,2.3111,0.0302,-0.0302,8544.8,29.5,-29.5,7.34,1.53,-0.65,1005,241.62,155.31,-64.19,370.8,1,5557,167,-167,4.592,0.034,-0.136,0.774,0.161,-0.069,294.65524,39.308361,15.725
CONFIRMED,0,0,0,0,22.36646466,9.76E-05,-9.76E-05,175.45862,0.00354,-0.00354,0.4,0.066,-0.4,5.228,0.122,-0.122,986.8,35.1,-35.1,2.32,0.38,-0.16,536,19.45,10.29,-4.56,32.1,1,5395,160,-160,4.615,0.032,-0.104,0.734,0.122,-0.052,294.71063,39.52174,15.583
CONFIRMED,0,0,0,0,1.625522174,1.58E-07,-1.58E-07,170.8266564,7.61E-05,-7.61E-05,0.076,0.022,-0.076,2.38963,0.00338,-0.00338,7969,11.8,-11.8,9.73,1.41,-1.42,1579,1467.41,576.36,-452.24,799.7,1,5539,83,-74,4.322,0.137,-0.1,1.106,0.161,-0.161,293.87192,38.422939,15.001
FALSE POSITIVE,1,0,1,0,7.544039,0.0001023,-0.0001023,171.7982,0.0105,-0.0105,1.175,33.63,-0.911,6.222,0.731,-0.731,322.6,28.2,-28.2,17.47,4.12,-1.65,838,116.46,81.18,-31.91,14.2,2,5657,152,-169,4.567,0.038,-0.152,0.824,0.194,-0.078,293.94116,38.601101,15.559
CANDIDATE,0,0,0,0,9.02930689,1.65E-05,-1.65E-05,177.20422,0.00142,-0.00142,0.024,0.401,-0.024,3.1449,0.0528,-0.0528,1019.8,21.9,-21.9,2.57,0.44,-0.26,757,77.75,43.01,-22.28,53.9,1,5349,167,-167,4.526,0.063,-0.108,0.82,0.141,-0.082,290.33362,38.72823,15.387
